SpeciesCode,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
GCKI,1,7,2,1,3,0,2,2,2,13,4,6,15,6
GCTH,1,1,NA,NA,1,1,NA,1,1,NA,1,NA,3,1
GHOW,0,0,NA,NA,NA,0,0,NA,0,0,0,0,0,0
GOEA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRCA,9,9,14,12,12,15,12,21,18,19,16,17,17,18
GREG,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,NA
GRHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRSC,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
GRYE,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,0,0
GUSP,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GWFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
GWTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWWA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
HAWO,2,1,3,1,1,0,4,1,0,1,1,1,0,2
HERG,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0
HETH,0,0,0,0,1,0,0,2,0,1,1,3,4,2
HOFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOLA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOME,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0
HORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
HOSP,2,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
HOWR,0,0,1,4,3,3,5,9,7,4,6,4,7,8
INBU,3,1,1,4,2,0,0,2,3,0,2,2,1,4
KILL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEFL,9,4,7,2,10,4,9,9,12,21,15,8,14,11
LESA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0
LEYE,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0
LISP,2,5,6,9,4,2,10,9,7,7,12,13,10,1
MALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAWA,5,22,17,18,41,11,27,39,66,82,87,42,57,88
MAWR,0,NA,NA,NA,NA,0,0,1,NA,NA,0,0,NA,0
MERL,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MODO,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MOWA,0,0,4,2,2,1,4,0,NA,6,7,1,5,2
NAWA,6,6,14,8,14,8,7,16,13,10,17,7,3,19
NOCA,5,4,0,0,4,0,3,5,5,4,0,6,4,3
NOFL,1,0,1,1,2,1,3,1,1,0,1,3,4,1
NOGO,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,NA
NOHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOMO,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
NOPA,0,0,2,1,7,3,4,0,0,1,5,1,0,0
NOPI,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,0
NOWA,4,5,15,12,26,12,28,28,43,48,42,37,29,30
NRWS,1,0,1,0,0,0,0,0,0,2,0,0,0,0
NSHO,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA
NSHR,0,0,0,1,0,0,NA,0,NA,NA,0,0,0,1
OCWA,NA,1,NA,NA,0,2,0,1,0,1,0,1,NA,1
OROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
OSFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA
OSPR,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
OVEN,0,0,2,0,0,4,1,0,0,1,1,5,0,2
PAWA,0,0,0,1,0,1,1,2,1,0,1,NA,1,4
