SpeciesCode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
RBGR,1,NA,NA,NA,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
RBNU,1,NA,4,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
RCKI,NA,2,NA,NA,3,1,3,1,NA,5,NA,1,NA,NA,NA,NA,NA,1
REVI,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
RNSA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RUHU,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RWBL,3,6,1,8,5,4,1,1,1,3,6,NA,NA,1,1,3,3,3
SAVS,3,NA,3,2,2,NA,5,16,3,5,1,4,NA,1,NA,2,1,6
SOSA,1,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOSP,3,1,9,7,NA,2,2,3,7,2,NA,6,NA,3,4,4,6,NA
SPSA,2,NA,2,NA,1,NA,NA,2,2,1,NA,2,2,7,6,4,4,5
SPTO,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
SSHA,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
SWTH,54,38,49,26,46,45,45,55,82,64,44,18,18,39,17,12,7,9
TEWA,1,NA,NA,NA,NA,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,1
TOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
TRES,18,6,10,18,16,12,25,37,19,11,9,20,16,15,24,30,87,28
TRFL,5,5,1,3,1,6,NA,10,26,9,4,1,NA,NA,1,1,1,NA
VATH,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
VEER,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
VGSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,4
