SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CAWA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1
CCSP,57,104,169,125,0,NA,NA,155,NA,NA,NA,NA,58,10,61,58,38,17,17,49,141,82,349,132
CEDW,0,1,0,4,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,3,NA,2,0,8,2,1
CHSP,22,34,39,7,0,NA,NA,5,NA,NA,NA,NA,6,10,17,11,1,16,5,30,15,5,57,11
CITE,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
CLSW,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
CMWA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
COGO,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA
COGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0
COHA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,0,0,0,NA,0,0
COLO,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,0,0
COME,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CONI,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
CONW,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA
CORA,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
CORE,0,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA
COSN,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
COTE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0
COYE,2,2,1,1,0,NA,NA,10,NA,NA,NA,NA,3,0,0,5,0,0,1,0,2,2,9,4
CSWA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
DCCO,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEJU,16,17,NA,3,0,NA,NA,25,NA,NA,NA,2,1,14,7,NA,1,NA,13,2,1,161,41,16
DOWO,NA,0,0,1,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,0,0,1,4,0,3,1,1
DOWS,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
DUNL,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAGR,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EAKI,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,0
EAPH,4,2,0,1,0,NA,NA,2,NA,NA,NA,NA,0,0,1,1,2,0,NA,NA,1,0,1,1
EUST,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
EVGR,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
EWWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1,NA,NA
FEHA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOSP,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,6,0,NA
FOTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
FRGU,0,0,15,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
GADW,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,0,1
GBHE,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,NA,0,NA,0,0,0,0
GCKI,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,0,NA,0
GCSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
GCTH,NA,NA,NA,1,NA,NA,NA,1,2,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,15,4,5,4
GHOW,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0
GLGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GOEA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRAJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRCA,1,1,2,1,0,NA,2,5,NA,1,NA,NA,1,1,NA,2,2,4,2,2,7,4,6,4
GRPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRSC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRYE,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,0,NA,0,0,0,NA
GUSP,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,4,0
GWFG,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
GWTE,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0
HASP,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HAWO,NA,0,1,0,0,1,NA,1,NA,NA,NA,NA,1,1,0,0,1,1,0,0,3,6,2,1
HERG,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
HETH,1,5,8,6,0,NA,NA,12,NA,NA,NA,NA,5,4,2,6,1,6,1,2,5,7,4,3
HOGR,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOME,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HOWR,17,16,25,23,0,NA,NA,35,NA,NA,NA,NA,10,0,12,20,16,9,20,11,70,50,58,27
HUGO,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KILL,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,0,0,NA
LALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA
LAZB,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBDO,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LCSP,2,NA,NA,1,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,2,0
LEFL,99,165,99,126,0,NA,NA,279,NA,NA,NA,NA,53,47,64,66,58,65,50,45,173,152,95,110
LEOW,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,1,0,0,0,0,NA,0,0,0,0
LESA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LESC,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA
LEYE,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,0,NA,0
LGPL,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LISP,13,8,12,2,0,NA,NA,9,NA,NA,NA,NA,6,2,3,2,1,5,3,4,18,3,25,18
MAGO,0,0,2,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,NA,0
MALL,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
MAWA,1,4,NA,3,0,5,1,4,NA,NA,NA,1,2,0,NA,1,1,1,6,NA,5,5,2,4
MAWR,0,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
MERL,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,NA,0,0
MGWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA
MOBL,NA,NA,1,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0
MODO,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,0,NA,NA
MOWA,0,2,NA,1,0,6,4,9,1,1,NA,1,1,1,NA,0,3,2,NA,1,3,11,4,12
NAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
NESP,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0
NOFL,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,2,0,0,0,0,0,0
NOGO,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA
NOHA,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
NOMO,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOOR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NOPI,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0
NOWA,6,NA,NA,NA,0,3,NA,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,4,2,2,NA
NSHO,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,1,0
NSHR,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSTS,0,0,0,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0
NSWO,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0
OCWA,13,29,12,10,0,NA,NA,7,NA,NA,NA,2,5,5,1,2,1,2,1,2,8,5,5,11
OSFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
OSPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OVEN,NA,0,0,1,0,NA,NA,11,NA,NA,NA,NA,4,1,2,1,0,2,1,0,2,4,1,1
PAWA,NA,1,2,0,NA,3,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,1,5,NA
PBGR,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0
PEEP,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,0,NA,0,NA
PEFA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,0
PEPL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
PESA,NA,0,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PHVI,1,0,NA,NA,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
PIGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PISI,0,2,2,0,0,NA,NA,2,NA,NA,NA,NA,0,0,12,0,0,8,4,NA,0,4,NA,0
PIWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
