SpeciesCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CMWA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,3,1,3,1,2,0,3,2,3
COGO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
COGR,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0
COHA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,0
COLO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
COME,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CONI,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,0,NA,0
CONW,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CORA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
CORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
COSN,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
COTE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
COYE,NA,NA,NA,NA,NA,NA,NA,NA,36,49,34,22,23,25,36,26,33,32,41
CSWA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,21,16,10,14,10,5,16,4,8
DCCO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,0
DEJU,NA,NA,NA,NA,NA,NA,NA,NA,45,109,15,53,20,26,74,87,90,22,23
DOWO,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0
DOWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
DUNL,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
EABL,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
EAKI,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
EAME,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0
EAPH,NA,NA,NA,NA,NA,NA,NA,NA,0,10,1,3,0,8,5,5,11,7,23
EASO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
EATO,NA,NA,NA,NA,NA,1,NA,NA,0,2,0,1,0,0,2,0,0,0,0
EAWP,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,0,3,1,2,3,0,0,1
EUST,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
EVGR,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,0,0,NA
EWPW,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0
EWWR,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,0,1,1,1,3,3,NA,NA
FICR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
FISP,2,NA,NA,NA,NA,NA,NA,2,0,1,1,0,0,0,1,NA,0,1,1
